financials_id,company_id,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,debtToEquity,beta,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare
0,1,0.33411,0.20842,0.68776,5098999808.0,0.188,0.30644,7544000000.0,225.615,0.239717,0.57181,633000000.0,18708000768.0,22578999296.0,2.982
1,2,0.33268002,0.18481001,0.55542,308800000.0,0.118,0.26749,405200000.0,52.821,0.209557,0.13049,82800000.0,963400000.0,1218000000.0,0.629
2,3,0.12271,0.08608,0.17013,5902000128.0,0.168,0.102819994,3615000064.0,15.165,0.341167,0.054980002,1667000064.0,6682999808.0,29460000768.0,2.602
3,4,0.113199994,0.03825,0.50414,318000000.0,0.241,0.07775,1983000064.0,223.702,1.026635,0.11108,870000000.0,16110999552.0,17517000704.0,6.799
4,5,0.16157,0.063779995,0.57433,337000000.0,0.267,0.10438,613000000.0,,1.065804,0.09871,210000000.0,0.0,3793999872.0,9.8
5,6,0.3973,0.47168,1.0,3755000064.0,0.769,0.37549,4762500096.0,2.36,0.736388,0.23587,23787999232.0,629000000.0,11987000320.0,364.682
6,7,0.07218,0.02933,0.24042,1041000000.0,0.206,0.05242,1479000064.0,28.299,1.443791,0.05441,2271000064.0,3270000128.0,20489000960.0,40.027
7,8,0.46442002,0.31595,0.84194,68768997376.0,0.279,0.43095002,77649002496.0,33.867,0.342734,0.73989,37473001472.0,25969000448.0,167195000832.0,16.569
8,9,0.44195,0.36905998,0.54102004,34155999232.0,0.371,0.39488,36335001600.0,25.774,1.42734,0.60897,8334000128.0,15523999744.0,82215002112.0,464.322
9,10,0.1103,0.06923,0.21229,25423998976.0,0.222,0.10395,27104999424.0,49.689,1.102624,0.22143,12885999616.0,39864999936.0,245735997440.0,57.661
10,11,0.03566,0.017070001,0.92153,2380000000.0,0.059,0.02723,2617999872.0,170.854,1.363885,0.14555,4505999872.0,16812000256.0,73413001216.0,24.392
11,12,-0.00426,-0.24924,0.37875998,-108780000.0,1.237,-0.14685,-10247000.0,13.872,1.437132,-0.094160005,3241577984.0,965174016.0,2404286976.0,53.544
12,13,0.18250999,0.10496,0.31643,536963968.0,0.689,0.14513999,944956032.0,67.7,1.007605,0.17663,223639008.0,2264613120.0,5177459200.0,4.551
13,14,0.44195,0.36905998,0.54102004,34155999232.0,0.371,0.39488,36335001600.0,25.774,1.42734,0.60897,8334000128.0,15523999744.0,82215002112.0,464.322
14,15,0.21643,-0.01985,0.4629,15900000256.0,0.236,0.15946001,15888000000.0,86.79,0.58206,0.21153,13287000064.0,32724000768.0,73409003520.0,94.265
15,16,0.17076,0.14636,0.25863,-8322999808.0,1.518,0.10451,21731000320.0,135.387,0.617704,0.2796,28220999680.0,72806998016.0,127263997952.0,67.165
16,17,0.17503999,0.13886,0.44158,1290000000.0,0.354,0.13841,1938749952.0,92.295,0.627888,0.37474,176000000.0,4540000256.0,11075999744.0,3.557
17,18,0.32554,0.20275,0.55272996,4116999936.0,0.161,0.25371,5488000000.0,49.178,0.385037,0.26791,1376999936.0,6905999872.0,16858000384.0,4.984
18,19,0.19174999,0.12477,0.75119,2571000064.0,0.086,0.16641001,3670000128.0,163.991,0.981981,0.30901,1244999936.0,13420999680.0,19139000320.0,5.461
19,20,0.0,0.3666,0.0,-20793999360.0,0.068,0.48366,,,0.866431,0.09909,119565000704.0,238029996032.0,9148999680.0,32.254
20,21,0.26782,0.17827,0.76126,4432000000.0,0.113,0.23448,6861000192.0,166.138,1.692518,0.70255995,260000000.0,9434999808.0,25617999872.0,2.763
21,22,0.059180003,0.02093,0.57471,95000000.0,0.134,0.027449999,263000000.0,43.3,0.631022,0.022650002,187000000.0,1844999936.0,4444000256.0,0.736
22,23,0.0,-0.12597999,0.0,-14968000512.0,-0.097,0.29398,,,0.993341,-0.03359,920600969216.0,1755687944192.0,44346998784.0,1082.193
23,24,0.008909999,-0.06966,0.053319998,-845000000.0,-0.293,-0.030030001,127000000.0,65.146,1.191931,-0.23379,1139000064.0,2428000000.0,14254000128.0,1.129
24,25,0.0,0.32202,0.0,17763000320.0,-0.073,0.41963002,,,0.863689,0.07711,153447006208.0,460927008768.0,9251000320.0,2388.243
